City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ulaanbaatar,47.9077,106.8832,-17.93,65,24,1.0,MN,1675571336
1,saint-philippe,-21.3585,55.7679,27.84,82,96,4.12,RE,1675571342
2,dikson,73.5069,80.5464,-21.1,99,100,1.59,RU,1675571344
3,hobart,-42.8794,147.3294,23.48,54,20,6.17,AU,1675571114
4,albany,42.6001,-73.9662,-7.65,55,52,2.57,US,1675571079
5,atuona,-9.8,-139.0333,26.33,73,23,8.22,PF,1675571346
6,melfort,52.8667,-104.6177,-7.93,79,100,1.03,CA,1675571347
7,dingle,10.9995,122.6711,28.42,71,42,5.76,PH,1675571350
8,nanortalik,60.1432,-45.2371,-5.57,65,100,12.59,GL,1675571354
9,codrington,-38.2667,141.9667,18.02,59,99,4.93,AU,1675571355
10,vaini,-21.2,-175.2,29.09,89,75,4.63,TO,1675571356
11,port-cartier,50.0334,-66.8654,-22.18,94,36,2.7,CA,1675571357
12,angoche,-16.2325,39.9086,24.57,90,89,2.88,MZ,1675571358
13,kaitangata,-46.2817,169.8464,17.69,91,100,6.27,NZ,1675571359
14,oum hadjer,13.2954,19.6966,20.8,13,17,3.89,TD,1675571360
15,emerald,-23.5333,148.1667,31.3,55,87,4.31,AU,1675571360
16,nouadhibou,20.931,-17.0347,17.99,27,100,8.23,MR,1675571361
17,castro,-24.7911,-50.0119,16.28,94,100,2.09,BR,1675571364
18,rikitea,-23.1203,-134.9692,25.84,77,27,6.53,PF,1675571365
19,warmbad,-28.45,18.7333,22.31,40,71,3.44,NA,1675571367
20,landeck,47.1301,10.5636,-10.05,82,82,1.94,AT,1675571367
21,saldanha,-33.0117,17.9442,18.03,96,100,5.22,ZA,1675571368
22,srednekolymsk,67.45,153.6833,-35.18,99,100,2.6,RU,1675571369
23,klichka,50.4457,117.996,-17.17,83,25,1.11,RU,1675571370
24,ushuaia,-54.8,-68.3,9.81,81,20,5.66,AR,1675571371
25,upernavik,72.7868,-56.1549,-24.96,100,99,1.97,GL,1675571371
26,guerrero negro,27.9769,-114.0611,15.3,75,0,4.49,MX,1675571263
27,avarua,-21.2078,-159.775,28.03,78,75,7.2,CK,1675571151
28,jamestown,42.097,-79.2353,0.4,39,0,4.12,US,1675571372
29,cairns,-16.9167,145.7667,30.97,86,75,2.06,AU,1675571337
30,bull savanna,17.8868,-77.5902,21.46,83,24,2.86,JM,1675571373
31,qitaihe,45.8,130.85,-8.02,88,100,2.35,CN,1675571373
32,pangnirtung,66.1451,-65.7125,-34.64,99,100,0.68,CA,1675571374
33,nikolskoye,59.7035,30.7861,-7.06,98,91,1.84,RU,1675571375
34,punta arenas,-53.15,-70.9167,10.06,71,0,13.89,CL,1675570851
35,havre,49.5833,0.3333,7.89,100,100,1.03,FR,1675571375
36,busselton,-33.65,115.3333,31.02,29,28,4.53,AU,1675571376
37,bend,44.0582,-121.3153,5.83,70,75,1.54,US,1675571177
38,itarema,-2.9248,-39.9167,25.39,86,19,5.04,BR,1675571376
39,dicabisagan,17.0818,122.4157,25.02,81,97,2.48,PH,1675571377
40,zyryanovsk,49.7386,84.2719,-2.95,96,100,0.59,KZ,1675571377
41,kapaa,22.0752,-159.319,24.18,83,100,7.2,US,1675571378
42,okhotsk,59.3833,143.3,-22.15,79,66,5.04,RU,1675571378
43,cape town,-33.9258,18.4232,21.6,88,75,5.14,ZA,1675571020
44,boa vista,2.8197,-60.6733,24.99,83,40,4.12,BR,1675571379
45,los llanos de aridane,28.6585,-17.9182,14.86,66,100,3.6,ES,1675571380
46,bluff,-46.6,168.3333,15.41,92,100,3.18,NZ,1675571380
47,tromso,69.6496,18.957,2.01,64,100,7.2,NO,1675571381
48,tuktoyaktuk,69.4541,-133.0374,-43.0,66,0,0.0,CA,1675571381
49,touros,-5.1989,-35.4608,25.98,82,18,4.67,BR,1675571382
50,kastamonu,41.5,33.6667,-3.82,86,100,0.74,TR,1675571382
51,oussouye,12.485,-16.5469,20.1,30,62,3.43,SN,1675571382
52,sitka,57.0531,-135.33,2.94,87,100,5.14,US,1675571383
53,pundaguitan,6.3711,126.1689,26.96,74,100,4.04,PH,1675571384
54,kodiak,57.79,-152.4072,0.73,86,100,0.0,US,1675571384
55,altamira,-3.2033,-52.2064,22.24,99,100,1.6,BR,1675571385
56,bontang,0.1333,117.5,28.4,71,54,3.15,ID,1675571385
57,norman wells,65.282,-126.8329,-25.98,70,75,2.06,CA,1675571385
58,chokurdakh,70.6333,147.9167,-31.82,97,100,3.81,RU,1675571386
59,san quintin,30.4833,-115.95,14.09,81,4,4.39,MX,1675571386
60,saint george,37.1041,-113.5841,9.33,54,0,2.06,US,1675571208
61,victoria,22.2855,114.1577,20.21,80,100,2.24,HK,1675571387
62,mataura,-46.1927,168.8643,17.31,94,99,1.57,NZ,1675571261
63,banda aceh,5.5577,95.3222,28.36,70,56,1.97,ID,1675571388
64,baykit,61.67,96.37,-13.42,97,97,0.82,RU,1675571388
65,joutseno,61.118,28.5076,-15.68,90,100,1.92,FI,1675571388
66,esperance,-33.8667,121.9,27.62,44,0,4.22,AU,1675571389
67,tezu,27.9167,96.1667,24.42,19,33,1.67,IN,1675571390
68,ilulissat,69.2167,-51.1,-18.99,60,27,4.12,GL,1675571390
69,ilebo,-4.3167,20.5833,19.33,97,100,0.86,CD,1675571390
70,tasiilaq,65.6145,-37.6368,-3.91,91,100,12.72,GL,1675571311
71,puerto ayora,-0.7393,-90.3518,25.86,96,84,1.79,EC,1675571315
72,fortuna,40.5982,-124.1573,12.19,87,100,13.38,US,1675571391
73,qaanaaq,77.484,-69.3632,-22.72,66,8,1.14,GL,1675571392
74,olafsvik,64.8945,-23.7142,4.76,96,100,15.85,IS,1675571392
75,inuvik,68.3499,-133.7218,-34.52,68,0,3.6,CA,1675571393
76,pisco,-13.7,-76.2167,22.03,94,40,4.63,PE,1675571149
77,mount gambier,-37.8333,140.7667,19.57,51,95,3.3,AU,1675571393
78,bredasdorp,-34.5322,20.0403,22.34,76,94,2.29,ZA,1675571394
79,vardo,70.3705,31.1107,-8.01,93,93,5.14,NO,1675571394
80,hithadhoo,-0.6,73.0833,26.8,71,25,5.5,MV,1675571395
81,hermanus,-34.4187,19.2345,20.45,95,83,2.54,ZA,1675571395
82,churhat,24.428,81.6703,21.5,28,0,2.27,IN,1675571395
83,shelui,-4.3667,34.2,18.15,85,99,0.69,TZ,1675571396
84,omboue,-1.5746,9.2618,24.79,90,95,2.57,GA,1675571396
85,khani,41.9563,42.9566,-4.24,61,93,2.94,GE,1675571397
86,coquimbo,-29.9533,-71.3436,18.85,77,0,1.54,CL,1675571397
87,palmer,42.1584,-72.3287,-8.06,45,100,3.09,US,1675571398
88,epe,6.5841,3.9834,24.91,93,98,1.78,NG,1675571398
89,cherskiy,68.75,161.3,-38.31,100,95,0.71,RU,1675571399
90,belle glade,26.6845,-80.6676,22.23,71,83,7.01,US,1675571399
91,east london,-33.0153,27.9116,23.52,88,0,3.6,ZA,1675571399
92,dunga bunga,29.7493,73.2432,18.95,31,0,2.12,PK,1675571400
93,peruibe,-24.32,-46.9983,24.41,85,68,1.85,BR,1675571400
94,fukue,32.6881,128.8419,11.2,50,75,3.09,JP,1675571401
95,talnakh,69.4865,88.3972,-13.18,95,100,3.34,RU,1675571401
96,tiksi,71.6872,128.8694,-32.0,100,100,1.71,RU,1675571403
97,margate,51.3813,1.3862,8.83,80,91,5.36,GB,1675571404
98,komsomolskiy,40.4272,71.7189,4.4,81,40,2.06,UZ,1675571404
99,provideniya,64.3833,-173.3,-18.48,92,99,4.72,RU,1675571406
100,ahome,25.9167,-109.1833,15.97,74,0,2.63,MX,1675571407
101,krasnouralsk,58.3638,60.0407,-13.77,93,99,0.52,RU,1675571409
102,sarankhola,22.3082,89.7897,27.0,23,66,2.46,BD,1675571411
103,kavaratti,10.5669,72.642,27.45,68,7,2.28,IN,1675571412
104,ambalavao,-21.8333,46.9333,19.4,92,100,2.02,MG,1675571413
105,port alfred,-33.5906,26.891,21.21,80,65,3.91,ZA,1675571319
106,araouane,18.9048,-3.5265,13.03,27,60,5.1,ML,1675571414
